WYT,PEST24: PEST24 Value,PEST20: PEST20 Value,Base: Init6 Value
W,45.032,40.201,41.826
AN,20.198,14.844,13.123
BN,10.511,9.409,9.505
D,3.16,2.237,2.426
C,5.353,6.707,9.911
